Vehicle_ID,Brand,Model,Year,Mileage,Engine_Size,Price
V0000001,Kia,SUV,2012,77759,1.3,52285
V0000002,Honda,SUV,2006,19995,3.8,64920
V0000003,Toyota,Van,2023,282666,4.6,44105
V0000004,Mercedes,Van,2006,81107,4.5,59930
V0000005,Ford,Sedan,2019,299024,3.1,11446
V0000006,Kia,Hatchback,2018,297365,2.9,54265
V0000007,Honda,Van,2019,253041,2.7,74561
V0000008,Audi,Truck,2003,186153,2.4,61256
V0000009,Mercedes,Van,2018,39468,3.7,56404
V0000010,Kia,Sedan,2016,201790,2.6,23302
V0000011,Kia,Truck,2014,2735,3.1,14651
V0000012,Hyundai,Sedan,2012,129456,3.8,72452
V0000013,Volkswagen,SUV,2002,82278,2.2,88159
V0000014,Toyota,Sedan,2014,130752,3.1,82537
V0000015,Toyota,Sedan,2021,73984,1.3,13368
V0000016,Honda,Convertible,2010,274063,4.3,27504
V0000017,Nissan,Sedan,2001,139047,1.2,75287
V0000018,Toyota,Convertible,2008,167258,1.5,62092
V0000019,Mercedes,Sedan,2022,61589,3.4,64452
V0000020,Kia,Hatchback,2013,34373,3.8,79808
V0000021,BMW,Van,2005,447,1.3,63847
V0000022,Mercedes,Hatchback,2009,36382,3.1,33493
V0000023,Audi,Convertible,2002,227927,2.9,84914
V0000024,Kia,Convertible,2017,289848,2.0,11949
V0000025,Kia,SUV,2020,186313,3.5,65643
V0000026,Honda,Hatchback,2021,265158,4.7,57154
V0000027,Ford,Hatchback,2024,75287,1.0,36892
V0000028,Kia,Truck,2012,104324,3.7,65679
V0000029,Honda,Sedan,2001,250238,2.0,61350
V0000030,Audi,Hatchback,2004,220026,2.9,37932
V0000031,Hyundai,Hatchback,2011,69854,2.9,68716
V0000032,Kia,Truck,2023,255983,1.5,10457
V0000033,Volkswagen,Hatchback,2020,272056,2.7,52899
V0000034,Kia,Hatchback,2009,226397,1.9,72140
V0000035,Mercedes,Hatchback,2003,86155,3.8,16379
V0000036,Honda,Sedan,2012,255385,1.3,21592
V0000037,Volkswagen,Truck,2016,273475,3.5,83656
V0000038,Mercedes,SUV,2009,31278,3.0,42788
V0000039,Nissan,Sedan,2007,248730,4.5,47331
